Country,EV_Sales_2017,EV_Sales_2016
Norway,62170.0,44888.0
Germany,53561.0,24626.0
UK,48395.0,39044.0
France,36888.0,29205.0
Sweden,20031.0,13415.0
Belgium,14654.0,9390.0
Netherlands,9190.0,22875.0
Switzerland,8029.0,5432.0
Spain,7448.0,3662.0
Austria,7265.0,5063.0
Italy,4827.0,2831.0
Portugal,4237.0,1873.0
Finland,3055.0,1432.0
Iceland,2990.0,1158.0
Hungary,1126.0,310.0
Luxembourg,992.0,306.0
Ireland,945.0,673.0
Denmark,913.0,1402.0
Poland,907.0,270.0
Czech Republic,630.0,363.0
Slovenia,528.0,272.0
Slovakia,394.0,55.0
Romania,374.0,162.0
Greece,163.0,47.0
Turkey,108.0,127.0
Latvia,101.0,46.0
Cyprus,99.0,39.0
Lithuania,70.0,81.0
Estonia,52.0,56.0
Bulgaria,61.0,12.0
Malta,53.0,17.0
Croatia,23.0,88.0
