Model,2015,2014,2013,2012,2011
BYD Qin,31898,14747,142,0,0
Kandi EV,16736,14398,0,0,0
BAIC E150/160/200 EV,16488,5234,1466,644,0
BYD Tang,18375,0,0,0,0
Chery QQ3 EV,3208,2016,5727,3129,2167
Zotye Cloud/Z100 EV,15467,0,0,0,0
JAC J3/iEV,9000,1000,1309,2485,1585
BYD e6,7029,3560,1544,1690,401
Zotye Zhidou E20,6385,7341,0,0,0
SAIC Roewe 550 PHEV,10711,1000,0,0,0
Chery eQ,7262,542,0,0,0
Tesla Model S[52][84][85],3025,2499,0,0,0
Geely-Kandi Panda EV,3654,1285,0,0,0
Zhidou D2,3777,0,0,0,0
BYD F3DM,0,0,1005,1201,613
Denza EV,2888,132,0,0,0
Zhidou D1,2387,0,0,0,0
Venucia e30,1271,582,0,0,0
BYD e5,1426,0,0,0,0
SAIC Roewe E50,412,168,409,238,0
Zotye TT EV,1984,0,0,0,0
