Country,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,5202,10699,15004,61984,214283,351000,602000,1160000,1196000
Europe,14160,40000,71233,102565,184500,222000,307000,410000,590000
United States,17763,53169,97102,118882,115262,157130,180000,360809,318000
Japan,12600,20667,28716,30567,46339,22000,56000,53000,44000
Canada,,,,,275,1225,931,1521,5284
Norway,,,,,,44888,62170,,
Germany,,,,,,24626,53561,,
UK,,,,,,39044,48395,,
France,,,,,,29205,36888,,
Sweden,,,,,,13415,20031,,
Belgium,,,,,,9390,14654,,
Netherlands,,,,,,22875,9190,,
Switzerland,,,,,,5432,8029,,
Spain,,,,,,3662,7448,,
Austria,,,,,,5063,7265,,
Italy,,,,,,2831,4827,,
Portugal,,,,,,1873,4237,,
Finland,,,,,,1432,3055,,
Iceland,,,,,,1158,2990,,
Hungary,,,,,,310,1126,,
Luxembourg,,,,,,306,992,,
Ireland,,,,,,673,945,,
Denmark,,,,,,1402,913,,
Poland,,,,,,270,907,,
Czech Republic,,,,,,363,630,,
Slovenia,,,,,,272,528,,
Slovakia,,,,,,55,394,,
Romania,,,,,,162,374,,
Greece,,,,,,47,163,,
Turkey,,,,,,127,108,,
Latvia,,,,,,46,101,,
Cyprus,,,,,,39,99,,
Lithuania,,,,,,81,70,,
Estonia,,,,,,56,52,,
Bulgaria,,,,,,12,61,,
Malta,,,,,,17,53,,
Croatia,,,,,,88,23,,
