Country,2016,2017,2018,2019
Japan,22000,56000,53000,44000
Canada,1225,931,1521,5284
Norway,44888,62170,73361,84365
Germany,24626,53561,65880,98161
UK,39044,48395,60494,69568
France,29205,36888,46110,62249
Sweden,13415,20031,29045,39792
Belgium,9390,14654,13628,16626
Netherlands,22875,9190,26375,55388
Switzerland,5432,8029,9233,15789
Spain,3662,7448,11842,19777
Austria,5063,7265,9081,12714
Italy,2831,4827,9509,15500
Portugal,1873,4237,8220,12576
Finland,1432,3055,5652,6952
Iceland,1158,2990,3468,8636
