EV Model,2019,2018,2017
Tesla Model 3,154836,139513,1764
Toyota Prius Gen-2-PHEV,15705,27595,20905
Tesla Model X,19425,26100,21393
Tesla Model S,15090,25745,27100
Chevrolet Volt EREV,4915,18306,20340
Honda Clarity PHEV,11000,18194,903
Chevrolet Bolt EV,16418,18019,23401
Nissan Leaf EV,12365,14715,11233
BMW 530e PHEV,5862,8664,619
Ford Fusion Energi PHEV,7476,8074,9612
Chrysler Pacifica PHEV,5811,7062,4585
BMW i3 EV/EREV,4854,6117,6306
BMW X5 PHEV,167,4434,5342
Mitsubishi Outlander PHEV,2810,4166,99
Kia Niro PHEV,4051,3389,0
BMW 330e PHEV,705,2600,4127
Audi A3 e-Tron PHEV,5369,2597,2885
Volvo XC60 PHEV,1682,2267,531
Fiat 500e,632,2250,5357
Porsche Cayenne S E-Hybrid,1140,1022,1574
Mercedes C350e PHEV,2459,1721,816
Hyundai Ioniq PHEV,1765,1590,0
Mini Countryman PHEV,494,1564,475
Volvo XC90 PHEV,1710,1387,2201
VW e-Golf EV,4863,1354,3563
